Questions,Answers,Cleaned_Questions,Cleaned_Answers
What is a referral?,"A referral means someone recommends you to another service. In health care, it usually means a request from your doctor to see a specialist like a psychiatrist. 
 To access any specialist in BC, you first need a referral. You may need to meet certain criteria, like a specific diagnosis or specific symptoms, to access some specialists. Your doctor can tell you what to expect. 
 Once your doctor has made the referral, the specialist’s office will contact you with an appointment time. Make sure your doctor’s office has your current contact information so the specialist can reach you. 
 The process is the same whether you see the same family doctor or visit a walk-in clinic. 
 Not all mental health programs in BC require a doctor’s referral. This is good news for people who are looking for help! A ""self-referral"" means that you ask to see someone, and then you will be evaluated to see if you meet the criteria to receive services. Contact your local health authority to learn more about programs in your area:",referral,referral mean someone recommends another service health care usually mean request doctor see specialist like psychiatrist access specialist bc first need referral may need meet certain criterion like specific diagnosis specific symptom access specialist doctor tell expect doctor made referral specialist office contact appointment time make sure doctor office current contact information specialist reach process whether see family doctor visit walkin clinic mental health program bc require doctor referral good news people looking help selfreferral mean ask see someone evaluated see meet criterion receive service contact local health authority learn program area
What's the difference between a psychiatrist and a registered psychologist?,"A psychiatrist is a medical doctor with extra training in mental health who can choose to prescribe medications. Some use psychotherapy (‘talk therapies’) approaches like cognitive-behavioural therapy to treat mental health problems. Many psychiatrists work at hospitals, clinics, or health centres, and some have a private office. As they are specialist doctors, you will almost always need another doctor’s referral to see a psychiatrist, and fees are covered by MSP. If you have a valid BC Services or CareCard, you do not need to pay to see a psychiatrist. 
 A registered psychologist focuses on different talk therapy or counselling approaches to treatments, but they don’t prescribe medication. They have graduate degrees in psychology. There are two different ways to access registered psychologists: the public system and the private system. Registered psychologists in the public system work in some hospitals or schools. You may need a doctor’s referral to access the program, and costs are usually covered by MSP. However, most people need to access registered psychologists through the private system. To do this, you can contact the psychologist yourself—you do not need a referral. Costs are not covered by MSP, but they may be covered by employee health plans. A registered psychologist’s fees charged by hour vary, and some offer lower fees to people with lower incomes. 
 You’ve probably noticed that a lot of the differences come down to how you pay for different services and how these professionals are educated. The practical differences in how they work are not always so clear. When it comes to your treatment and care, the most important part is finding a professional who supports your own goals. Are you really focused on fine-tuning medications? Are you looking for a particular therapy approach? Does the professional’s philosophy of care make sense to you? Do you like the professional you’re talking to and do you feel safe sharing your experiences? Ultimately, your relationship with the professional is what matters. Instead of focusing on designation, look for a professional who meets your needs and your expectations. 
 Talk to your family doctor and ask for their recommendations 
 Ask local mental health organizations for help. You can find local branches through the provincial organizations behind HeretoHelp 
 Ask a community health centre, outpatient psychiatry program, or mental health team for suggestions 
 For a list of psychiatrists near you, search under ‘Specialist’ in the College of Physicians and Surgeons of British Columbia’s Find a Physician Tool but remember that you will first need a referral from a doctor (like your family doctor) 
 For a list of psychologists near you, search in the British Columbia Psychological Association’s Find a Registered Psychologist tool and you can also learn more about finding a psychologist from the College of Psychologists of British Columbia",whats difference psychiatrist registered psychologist,psychiatrist medical doctor extra training mental health choose prescribe medication use psychotherapy talk therapy approach like cognitivebehavioural therapy treat mental health problem many psychiatrist work hospital clinic health centre private office specialist doctor almost always need another doctor referral see psychiatrist fee covered msp valid bc service carecard need pay see psychiatrist registered psychologist focus different talk therapy counselling approach treatment dont prescribe medication graduate degree psychology two different way access registered psychologist public system private system registered psychologist public system work hospital school may need doctor referral access program cost usually covered msp however people need access registered psychologist private system contact psychologist yourselfyou need referral cost covered msp may covered employee health plan registered psychologist fee charged hour vary offer lower fee people lower income youve probably noticed lot difference come pay different service professional educated practical difference work always clear come treatment care important part finding professional support goal really focused finetuning medication looking particular therapy approach professional philosophy care make sense like professional youre talking feel safe sharing experience ultimately relationship professional matter instead focusing designation look professional meet need expectation talk family doctor ask recommendation ask local mental health organization help find local branch provincial organization behind heretohelp ask community health centre outpatient psychiatry program mental health team suggestion list psychiatrist near search specialist college physician surgeon british columbia find physician tool remember first need referral doctor like family doctor list psychologist near search british columbia psychological association find registered psychologist tool also learn finding psychologist college psychologist british columbia
What's the difference between psychotherapy and counselling?,"Psychotherapy and counselling have a lot in common and usually mean the same thing. Both are used to describe professionals who use talk-based approaches to help someone recover from a mental illness or mental health problem. Many different professionals may provide counselling or psychotherapy, including registered psychologists, registered clinical counsellors, psychiatrists, other therapists and counsellors, family doctors, psychiatric nurses, and faith leaders. 
 It’s useful to talk to someone about any problem—a lot of people find that simply talking with friends or family can help them feel better. A professional therapist or counsellor can offer more: they have training, experience, and emotional distance (since they don’t know you). They use different theories to listen to you, support you, and approach different problems or patterns. For example, a psychotherapy called cognitive-behavioural therapy is based on the theory that learning skills to change your thinking and actions can positively impact your emotions, well-being, and future thoughts and behaviours. A therapist could help you learn and practice these skills. 
 There are many psychotherapies with good evidence of being effective for different problems or illnesses. A few examples include cognitive-behavioural therapy, interpersonal therapy, dialectical behaviour therapy, solutions-focused brief psychotherapy, narrative therapy, and emotion-focused therapy. 
 In general, some aspects of therapy and counselling are the same, no matter which approach you choose: the expectations you bring to your counselling sessions, the match between your understanding of the problems and your therapist’s understanding of the problem, and the trust and rapport that you have with your therapist. In fact, one research review found that 50% of the improvement seen in clients who just received active listening and support from a counsellor (called non-directive supportive therapy) was due simply to the relationship between client and therapist.1 Psychotherapy can and does work, but the professional you choose, and their match with your values, is also very important. 
 When you’re looking for a professional, it’s always a good idea to ask if they are a member of a professional organization (like those listed in the next section).",whats difference psychotherapy counselling,psychotherapy counselling lot common usually mean thing used describe professional use talkbased approach help someone recover mental illness mental health problem many different professional may provide counselling psychotherapy including registered psychologist registered clinical counsellor psychiatrist therapist counsellor family doctor psychiatric nurse faith leader useful talk someone problema lot people find simply talking friend family help feel better professional therapist counsellor offer training experience emotional distance since dont know use different theory listen support approach different problem pattern example psychotherapy called cognitivebehavioural therapy based theory learning skill change thinking action positively impact emotion wellbeing future thought behaviour therapist could help learn practice skill many psychotherapy good evidence effective different problem illness example include cognitivebehavioural therapy interpersonal therapy dialectical behaviour therapy solutionsfocused brief psychotherapy narrative therapy emotionfocused therapy general aspect therapy counselling matter approach choose expectation bring counselling session match understanding problem therapist understanding problem trust rapport therapist fact one research review found improvement seen client received active listening support counsellor called nondirective supportive therapy due simply relationship client therapist psychotherapy work professional choose match value also important youre looking professional always good idea ask member professional organization like listed next section
What's the difference between CBT and DBT?,"CBT (cognitive-behavioural therapy) and DBT (dialectical behaviour therapy) are two forms of psychotherapy or “talk therapy.” In both, you work with a mental health professional to learn more about the challenges you experience and learn skills to help you manage challenges on your own. 
 Cognitive-behavioural therapy or CBT teaches you how your thoughts, feelings, and behaviours influence each other. For example, if you believe that people don’t like you (thought), you might avoid social situations (behaviour) and feel lonely (feeling). However, CBT teaches you how to use these relationships to your advantage: a positive change in one factor (changing a thought or behaviour) can lead to positive changes in all factors. CBT is an approach that has been proven by research to work for many different mental health problems, including depression, anxiety disorders, eating disorders and substance use problems. 
 CBT is structured, short-term, goal-oriented and focused on the present. It starts with education around the particular mental illness or challenge and how the illness or challenge affects you. Next, you’ll learn and practice skills and strategies like problem-solving or realistic thinking to help you make changes in your thoughts, feelings, and behaviours. You’ll learn how you can use your new skills to deal with problems in the future. 
 Dialectical behaviour therapy or DBT is based on CBT, with greater focus on emotional and social aspects. DBT was developed to help people cope with extreme or unstable emotions and harmful behaviours. DBT is an evidence-based approach to help people regulate emotions. It started as a treatment for borderline personality disorder, and current research shows it may help with many different mental illnesses or concerns, particularly self-harm. 
 Key differences between CBT and DBT are validation and relationships. DBT teaches you that your experiences are real, and it teaches you how to accept who you are, regardless of challenges or difficult experiences. Relationships are also very important in DBT—including the relationships between you and your DBT practitioner. You may have frequent check-ins to talk about any successes or problems. Treatment may include a mix of one-on-one sessions and group sessions. In addition to CBT skills, you’ll learn skills around managing your emotions, building relationships with others, coping well with problems or distress, acceptance, and mindfulness. 
 As with many talk therapies, it takes time and effort to enjoy the benefits of CBT and DBT skills. But once people master skills with support from your CBT or DBT therapist, they often find that their new skills and strategies become second nature—they are tools that last a lifetime.",whats difference cbt dbt,cbt cognitivebehavioural therapy dbt dialectical behaviour therapy two form psychotherapy talk therapy work mental health professional learn challenge experience learn skill help manage challenge cognitivebehavioural therapy cbt teach thought feeling behaviour influence example believe people dont like thought might avoid social situation behaviour feel lonely feeling however cbt teach use relationship advantage positive change one factor changing thought behaviour lead positive change factor cbt approach proven research work many different mental health problem including depression anxiety disorder eating disorder substance use problem cbt structured shortterm goaloriented focused present start education around particular mental illness challenge illness challenge affect next youll learn practice skill strategy like problemsolving realistic thinking help make change thought feeling behaviour youll learn use new skill deal problem future dialectical behaviour therapy dbt based cbt greater focus emotional social aspect dbt developed help people cope extreme unstable emotion harmful behaviour dbt evidencebased approach help people regulate emotion started treatment borderline personality disorder current research show may help many different mental illness concern particularly selfharm key difference cbt dbt validation relationship dbt teach experience real teach accept regardless challenge difficult experience relationship also important dbtincluding relationship dbt practitioner may frequent checkins talk success problem treatment may include mix oneonone session group session addition cbt skill youll learn skill around managing emotion building relationship others coping well problem distress acceptance mindfulness many talk therapy take time effort enjoy benefit cbt dbt skill people master skill support cbt dbt therapist often find new skill strategy become second naturethey tool last lifetime
What's the difference between antidepressants?,"There are many different types of antidepressant medications, and they each work in different ways. Antidepressants are divided into “classes” based on what they do and which chemical messengers in the brain (called neurotransmitters) they are thought to influence. Each class may contain several different medications, which each have slightly different ways of working. Below, you’ll find common classes and examples of common medications. The first name is the generic name and name in brackets is the brand name. 
 SSRIs or selective serotonin reuptake inhibitors: fluoxetine (Prozac), paroxetine (Paxil), citalopram (Celexa), escitalopram (Cipralex), and sertraline (Zoloft) 
 SNRIs or serotonin and norepinephrine reuptake inhibitors: venlafaxine (Effexor) and duloxetine (Cymbalta) 
 NDRIs or norepinephrine-dopamine reuptake inhibitors: bupropion (Wellbutrin and Zyban) 
 NaSSAs or noradrenergic and specific serotonergic antidepressants: mirtazapine (Remeron), which can also be classed as a TeCa or tetracyclic antidepressant 
 SARIs or serotonin antagonist and reuptake inhibitors: trazodone (Desyrel) 
 There are other classes of antidepressants (such as MAOIs or triclycics) that are much older and have more side effects or restrictions. They are usually prescribed when newer antidepressants don’t work. Other medications such as lithium, thyroid medication, or antipsychotics may also be prescribed, often in combination with an antidepressant to boost its effect. Antidepressants are not only used to treat depression—they may be prescribed to treat other illnesses like anxiety disorders. 
 Only medical doctors like family doctors or psychiatrists can prescribe antidepressants. If your doctor recommends that you consider antidepressants, keep in mind that most people have to try a few different options before they find the right medication. It can be a frustrating process, especially when you feel unwell, but it’s important to find something that works for you! Side effects and benefits can vary significantly between different people, and it’s difficult to predict how a medication might work without trying it out first. Everyone responds to them differently. It’s very important to have ongoing discussions with your health care team regarding your medication so you can bring up any problems or concerns—or even ask more about how your particular antidepressant works.",whats difference antidepressant,many different type antidepressant medication work different way antidepressant divided class based chemical messenger brain called neurotransmitter thought influence class may contain several different medication slightly different way working youll find common class example common medication first name generic name name bracket brand name ssri selective serotonin reuptake inhibitor fluoxetine prozac paroxetine paxil citalopram celexa escitalopram cipralex sertraline zoloft snris serotonin norepinephrine reuptake inhibitor venlafaxine effexor duloxetine cymbalta ndris norepinephrinedopamine reuptake inhibitor bupropion wellbutrin zyban nassas noradrenergic specific serotonergic antidepressant mirtazapine remeron also classed teca tetracyclic antidepressant sari serotonin antagonist reuptake inhibitor trazodone desyrel class antidepressant maoi triclycics much older side effect restriction usually prescribed newer antidepressant dont work medication lithium thyroid medication antipsychotic may also prescribed often combination antidepressant boost effect antidepressant used treat depressionthey may prescribed treat illness like anxiety disorder medical doctor like family doctor psychiatrist prescribe antidepressant doctor recommends consider antidepressant keep mind people try different option find right medication frustrating process especially feel unwell important find something work side effect benefit vary significantly different people difficult predict medication might work without trying first everyone responds differently important ongoing discussion health care team regarding medication bring problem concernsor even ask particular antidepressant work
I received a diagnosis but I don’t think it’s right. What can I do?,"If possible, bring up your concerns with the professional who provided the diagnosis. That way, the professional can answer your questions and you can better understand their decision. 
 If that doesn’t resolve the situation or a follow-up appointment isn’t possible, you can ask for a second opinion. A second opinion is an assessment from a different professional. This can give you better understanding of what’s going on and what to do about it. Second opinions are common when it comes to major health decisions—you won’t hurt anyone’s feelings and your doctor will try to accommodate reasonable requests for a second opinion. Talk to your family doctor (or go to a walk-in clinic) to discuss your options and get a referral to a different program or health professional, if needed. 
 For more how to get a second opinion, see HealthLinkBC’s factsheet at www.healthlinkbc.ca. 
 For general tips on managing a diagnosis of a mental illness and working well with health care professionals, see HeretoHelp’s Managing a Mental Illness series.",received diagnosis dont think right,possible bring concern professional provided diagnosis way professional answer question better understand decision doesnt resolve situation followup appointment isnt possible ask second opinion second opinion assessment different professional give better understanding whats going second opinion common come major health decisionsyou wont hurt anyones feeling doctor try accommodate reasonable request second opinion talk family doctor go walkin clinic discus option get referral different program health professional needed get second opinion see healthlinkbcs factsheet wwwhealthlinkbcca general tip managing diagnosis mental illness working well health care professional see heretohelps managing mental illness series
I was prescribed an antidepressant or other psychiatric medication but I don’t think it’s working. What can I do?,"If you’re concerned about your medications, it’s important to talk with the doctor or psychiatrist who prescribed your medications. While it can take a few weeks to really see improvements with many antidepressants, it’s still a good idea to talk to your doctor about what to expect. 
 Talk to the doctor that prescribed your medication if you experience symptoms or side effects that are distressing you. If you want to talk to a trusted professional about the most common side effects, call your pharmacist. You can reach a pharmacist by phone after-hours by calling 811. 
 It’s also best not to stop taking the medication or changing the dose on your own without first talking to a health care provider. While it might be tempting to stop taking your medication when you start feel better, it’s important to follow your doctor’s instructions. 
 In some cases, people can have an allergic reaction to a medication. Some reactions are not serious, like a rash. In these cases, you can call the pharmacist or call 811 to reach help after-hours. If you have a serious reaction like difficult breathing, dizziness, or confusion, call 911 right away. 
 When you start a new medication, your pharmacist will give you a printout with information like side effects, signs of an allergic reaction, how long it might take to work, and other information. It’s good information to keep on hand, but it isn’t always easy to read. When you pick up your medication, you can ask the pharmacist to go over the information with you so you understand what you should look for. 
 If a particular antidepressant or psychiatric medication just isn’t working for you, there are many different options! Unfortunately, finding the right medication can take some trial and error. Different people can have very different experiences with the same medication, and often you need to try something to see if it works (or doesn’t work) for you. This can be a frustrating process, especially when you want to start feeling better, but it’s important to keep trying and work with your doctor so you understand your options. Many people feel intimidated talking to health professionals, but it’s important to share information so you both understand what’s going on and can make good, informed decisions about your health care. Some people also feel embarrassed talking about symptoms or side effects like changes in sex drive or digestion, but its important information for your doctor (and they know that changes in sex drive or digestion are common concerns). You can find strategies, including a mood journal, to help you work with doctors and other health care providers in our Working With Your Doctor toolkit.",prescribed antidepressant psychiatric medication dont think working,youre concerned medication important talk doctor psychiatrist prescribed medication take week really see improvement many antidepressant still good idea talk doctor expect talk doctor prescribed medication experience symptom side effect distressing want talk trusted professional common side effect call pharmacist reach pharmacist phone afterhours calling also best stop taking medication changing dose without first talking health care provider might tempting stop taking medication start feel better important follow doctor instruction case people allergic reaction medication reaction serious like rash case call pharmacist call reach help afterhours serious reaction like difficult breathing dizziness confusion call right away start new medication pharmacist give printout information like side effect sign allergic reaction long might take work information good information keep hand isnt always easy read pick medication ask pharmacist go information understand look particular antidepressant psychiatric medication isnt working many different option unfortunately finding right medication take trial error different people different experience medication often need try something see work doesnt work frustrating process especially want start feeling better important keep trying work doctor understand option many people feel intimidated talking health professional important share information understand whats going make good informed decision health care people also feel embarrassed talking symptom side effect like change sex drive digestion important information doctor know change sex drive digestion common concern find strategy including mood journal help work doctor health care provider working doctor toolkit
An adult in my life seems ill and won’t find help. What can I do?,"It’s difficult when an adult child, sibling, parent, friend, co-worker, or other important person is struggling or behaving in ways that are causing harm. This can be a tricky situation—you want to help, but most adults are responsible for their own care. 
 There are two important points to think about. First, diagnosing a health condition, especially when symptom-checking is so easy online, can be dangerous. Diagnosis is still always best left to professionals who can look at the whole picture. Remember, too, that the person you care about may have a very different idea of what’s causing their difficulties and what the negative impacts are on their life. Second, except in rare cases, the person being treated needs to be an active player in their own recovery to continue with their treatment, just as they would for any other health problem. If the vast majority of cases, you cannot do this work entirely for them—and trying to do so may damage your relationship. 
 Be honest about your concerns, the impacts you are seeing that worry you, listen to their point of view and work together to find a solution that works for everyone, even if it means a compromise. You may want to offer to go with them to an appointment, encourage them to do an online screening self-test, or involve someone else close to them who may be similarly concerned and may have more influence in encouraging them to notice changes and seek help. Because you may be feeling frustrated and helpless, it’s important to get care and support for yourself during this time, especially if you’re very close to the person you’re worried about. 
 In serious situations, the BC Mental Health Act allows someone to be held for a period of time for psychiatric assessment without their consent if they are at risk of harming themselves or others. While it’s necessary in some situations to get someone the care they need, it can be traumatic for everyone involved. For more on the BC Mental Health Act, see the Guide to the Mental Health Act.",adult life seems ill wont find help,difficult adult child sibling parent friend coworker important person struggling behaving way causing harm tricky situationyou want help adult responsible care two important point think first diagnosing health condition especially symptomchecking easy online dangerous diagnosis still always best left professional look whole picture remember person care may different idea whats causing difficulty negative impact life second except rare case person treated need active player recovery continue treatment would health problem vast majority case cannot work entirely themand trying may damage relationship honest concern impact seeing worry listen point view work together find solution work everyone even mean compromise may want offer go appointment encourage online screening selftest involve someone else close may similarly concerned may influence encouraging notice change seek help may feeling frustrated helpless important get care support time especially youre close person youre worried serious situation bc mental health act allows someone held period time psychiatric assessment without consent risk harming others necessary situation get someone care need traumatic everyone involved bc mental health act see guide mental health act
I’m worried about my child or teenager. Where can I find help?,"It can be hard to figure out what to do if you’re concerned about a young person in your family. Many people start by talking with their family doctor. If you don’t have a family doctor, you can find a doctor through the College of Physicians and Surgeons of BC. You can also visit a walk-in clinic. Depending on the situation, your family doctor may offer everything you need. If your child needs more specialized services, such as psychiatry services, your family doctor needs to make a referral for your child. Many family doctors can also recommend community services or supports in your community. Learn more about the role of family doctors in the info sheet What to Expect from Your Family or Walk-In Clinic Doctor. 
 If your child’s difficulties affect their performance or behaviour at school, the school may be involved. If your child’s school has a counsellor, talk to them about services you can access through the school. School counsellors can also suggest community services. See the info sheet What to Expect from Your Child's School. 
 Kelty Mental Health Resource Centre offers information, resources, peer support, and system navigation to children, youth, and families experiencing mental health or substance use challenges. Their Help Finder tool and help you navigate the mental health system. Kelty Mental Health is based at BC Children’s Hospital in Vancouver, but they support young people and their families across the province. 
 Institute of Families for Child and Youth Mental Health advocates for healthy young people and family support. They offer resources and education events across BC. 
 The Canadian Mental Health Association’s BC Division offers Confident Parents: Thriving Kids, a phone-based education and support program to help parents or caregivers manage mild to moderate behaviour problems for children ages 3 to 12. This program is free, but it requires a doctor’s referral. 
 You may also want to check out these resources from HeretoHelp on child and youth mental health and substance use:",im worried child teenager find help,hard figure youre concerned young person family many people start talking family doctor dont family doctor find doctor college physician surgeon bc also visit walkin clinic depending situation family doctor may offer everything need child need specialized service psychiatry service family doctor need make referral child many family doctor also recommend community service support community learn role family doctor info sheet expect family walkin clinic doctor child difficulty affect performance behaviour school school may involved child school counsellor talk service access school school counsellor also suggest community service see info sheet expect child school kelty mental health resource centre offer information resource peer support system navigation child youth family experiencing mental health substance use challenge help finder tool help navigate mental health system kelty mental health based bc childrens hospital vancouver support young people family across province institute family child youth mental health advocate healthy young people family support offer resource education event across bc canadian mental health association bc division offer confident parent thriving kid phonebased education support program help parent caregiver manage mild moderate behaviour problem child age program free requires doctor referral may also want check resource heretohelp child youth mental health substance use
Someone I care about has a brain injury. Where can I find more information?,"A brain injury itself isn’t the same as a mental illness, though someone who experiences a brain injury may also experience mental health problems. These mental health problems may stem from the injury itself or from thoughts around the injury (like feelings of loss, anger, or frustration when quality of life changes). In some cases, mental health challenges may not be related to a brain injury at all. The good news is that mental health problems are treatable, even if you or someone you care about has experienced a brain injury. It may be helpful to find a service provider who is familiar with both brain injuries and mental health. 
 For more information and support, visit the BC Brain Injury Association. You can also find local and regional groups and organizations in BC through the Brain Injury Association of Canada.",someone care brain injury find information,brain injury isnt mental illness though someone experience brain injury may also experience mental health problem mental health problem may stem injury thought around injury like feeling loss anger frustration quality life change case mental health challenge may related brain injury good news mental health problem treatable even someone care experienced brain injury may helpful find service provider familiar brain injury mental health information support visit bc brain injury association also find local regional group organization bc brain injury association canada
Someone I love has been diagnosed with depression. How can I help?,"We naturally want to help a loved one who isn’t feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say they’re not sure how to best help when a loved one experiences a mental illness like depression. Here are some tips: 
 You don’t have to understand exactly what someone else is experiencing, you just need to recognize that it’s a difficult experience. You can try something like, “I can see that this experience or these symptoms are really painful for you,” or, “I’m sorry to hear that you’re feeling unwell.” If you have experienced depression yourself, you might say, “I know how you feel.” Just remember that everyone experiences illnesses like depression differently, and empathy is about recognizing the impact of the illness, not comparing symptoms. 
 You don’t have to be an expert, but learning more about depression can help you understand what’s going on (and maybe dispel some of the unhelpful myths around depression). Our Depression info sheet is a great place to start, and we have a list of resources at Q&A: Where can I learn more about depression? 
 Sometimes talking about problems or concerns can really help—in fact, many people who experience a mood disorder say that they just want to be heard. It’s important to understand that talking about something difficult like experiences of depression can be very hard for your loved one. You cannot force them to talk about it, but you can invite them to, and create safe and quiet spaces to talk. If a loved one opens up to you, listen actively—that is, without distractions like your phone or the TV. Really pay attention to what they have to say. Listen with empathy and without judgement. Even if you don’t understand the problem or see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. That’s okay! Respect your loved one’s boundaries and let them tell you what they’re ready to talk about. 
 Even when you have the best intentions, unsolicited advice can be unhelpful. You likely can’t fix the problem, and you may not know the whole story. If you’d like to share what worked for you in a similar situation, you can ask if the other person would like to talk about strategies that worked for you. 
 Different people need different things—don’t assume you know what’s best! Some people need emotional help, like someone they can talk with. Other people may have a good relationship with a counsellor or other professional, but they might need practical help, like help around the house or help sticking to their treatment plan. And others may simply want to be included in some social events. By asking what a person needs, you may also be less tempted to give advice. 
 When people experience an episode of depression, they can have a lot of very negative thoughts and feelings. This can take a real toll on others. It’s a good idea to seek support for yourself—there are support groups just for family members and friends. The BC Schizophrenia Society has a directory of family support groups around BC for any mental illness. 
 If your loved one isn’t happy with their treatment or would like to try a different option, you can also help them seek different resources or services. You can find general advice in the Ask Us section of HeretoHelp. To find local services, call the BC Mental Health Support Line at 310-6789 (no area code) or email us. 
 This is very important! You are not responsible for your loved one’s treatment (unless your loved one is your child under 19)—but you can support them as they work towards recovery. In most cases, your loved one’s treatment and recovery plans are their choice—you are there to offer support and encouragement. 
 In order for any treatment to work, your loved one needs to be actively involved. Forcing or threatening treatment generally doesn’t work and will only hurt everyone involved. In most cases, anyone 19 years of age and older is free to make their own choices. And their choices may include refusing treatment or choosing a treatment you disagree with. It’s important to be respectful and keep honest communication open between you. You can learn more about dealing with this situation in Ask Us: An adult in my life seems ill and won’t find help. What can I do? 
 If your loved one says that they have thoughts of ending their life, it’s important to take action. Call 1-800-SUICIDE (1-800-784-2433) at any time or message online at www.crisiscentrechat.ca between noon and 1am. If you think your loved one is in immediate danger, you can always call 911 or go to a hospital emergency room.",someone love diagnosed depression help,naturally want help loved one isnt feeling well help may seem fairly obvious loved one experience physical health problem many people say theyre sure best help loved one experience mental illness like depression tip dont understand exactly someone else experiencing need recognize difficult experience try something like see experience symptom really painful im sorry hear youre feeling unwell experienced depression might say know feel remember everyone experience illness like depression differently empathy recognizing impact illness comparing symptom dont expert learning depression help understand whats going maybe dispel unhelpful myth around depression depression info sheet great place start list resource qa learn depression sometimes talking problem concern really helpin fact many people experience mood disorder say want heard important understand talking something difficult like experience depression hard loved one cannot force talk invite create safe quiet space talk loved one open listen activelythat without distraction like phone tv really pay attention say listen empathy without judgement even dont understand problem see problem different way main concern distress difficult feeling loved one experiencing find indepth tip listening communicating well module three family toolkit people ready talk everything thats okay respect loved one boundary let tell theyre ready talk even best intention unsolicited advice unhelpful likely cant fix problem may know whole story youd like share worked similar situation ask person would like talk strategy worked different people need different thingsdont assume know whats best people need emotional help like someone talk people may good relationship counsellor professional might need practical help like help around house help sticking treatment plan others may simply want included social event asking person need may also less tempted give advice people experience episode depression lot negative thought feeling take real toll others good idea seek support yourselfthere support group family member friend bc schizophrenia society directory family support group around bc mental illness loved one isnt happy treatment would like try different option also help seek different resource service find general advice ask u section heretohelp find local service call bc mental health support line area code email u important responsible loved one treatment unless loved one child support work towards recovery case loved one treatment recovery plan choiceyou offer support encouragement order treatment work loved one need actively involved forcing threatening treatment generally doesnt work hurt everyone involved case anyone year age older free make choice choice may include refusing treatment choosing treatment disagree important respectful keep honest communication open learn dealing situation ask u adult life seems ill wont find help loved one say thought ending life important take action call suicide time message online wwwcrisiscentrechatca noon think loved one immediate danger always call go hospital emergency room
